"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Atp6v0e",693.9612,657.6808,785.2607,628.1525,668.4005,645.6274
"Cyfip1",437.1973,399.972,456.1206,328.8378,324.0397,377.3321
"Cd81",1050.462,1025.715,1154.238,953.1795,981.8646,948.5076
"Nfe2l1",501.8649,547.3145,546.7711,492.5566,473.9949,490.6614
"Cirbp",640.51,564.4738,497.7165,617.3875,555.4534,509.7976
"Dok2",29.85108,26.14031,38.44167,29.03677,34.27716,34.53385
"Wwox",86.21324,100.7557,90.23103,100.5545,102.3285,87.53491
"Mif",520.2166,511.9812,577.6566,486.1399,427.2419,435.9643
"Sh3gl1",246.0901,266.7187,272.2641,357.762,316.4579,329.5206
"Prkcsh",328.8064,293.8748,313.7658,296.0963,272.0299,340.1821
"Man2b1",230.5403,236.616,267.023,197.0638,182.6694,211.4954
"Polr2c",265.4064,260.2958,269.8156,288.0035,300.4924,267.7663
"Tnc",7.866114,15.53304,29.89113,21.69304,13.71414,28.49929
"Timm8a1",454.6614,429.2711,483.793,336.8328,307.2794,378.8958
"Men1",166.8929,158.2977,165.5411,145.0466,127.2628,168.9507
"Klf16",226.4705,237.1626,328.1505,204.5368,180.5602,208.6569
"Map2k1",377.8275,356.6878,390.4797,321.8509,278.2265,348.3412
"Nr1h2",167.0409,159.925,145.6421,139.7479,135.9491,151.1421
"Gmpr2",266.4388,299.4656,300.7267,353.6633,344.5564,337.7876
"Mcam",247.289,257.7286,277.2668,200.0721,213.827,222.5854
"Mfsd10",41.09556,37.66629,54.16899,39.63086,30.91243,34.79514
"Snx18",607.7623,625.4688,622.3629,531.623,559.0242,577.5813
"Dync1i1",240.7679,240.0223,260.2473,189.8462,178.9972,223.7413
"Fkbp4",517.6945,500.2679,465.5353,455.9232,544.2494,444.0688
"Hsp90ab1",1467.963,1440.048,1399.088,1292.618,1371.187,1337.495
"Fmc1",195.7257,187.2959,241.7571,237.9569,220.6994,198.9445
"Gsta4",1729.348,1711.048,1842.707,1583.855,1515.891,1653.003
"Mfsd14b",616.8192,602.1224,620.4183,555.4545,560.1987,532.4999
"Apod",13.44273,11.08312,16.60173,19.99236,9.735733,12.87727
"Nfs1",395.5647,363.3253,355.5313,363.161,372.433,386.5138
"Ap3m1",303.8012,298.4167,308.8995,305.6125,309.4471,302.3268
"Tmem97",995.7987,974.8882,940.6434,1125.633,1207.373,1068.597
"Pdcd7",702.6913,738.2385,655.3153,709.206,757.8222,671.7775
"Pnkp",125.9124,132.2559,133.3411,124.5271,120.2306,123.9541
"Panx1",82.11477,91.12997,99.59999,74.326,62.74931,66.8453
"Mov10",92.76965,113.1416,108.8006,66.4719,77.05712,73.24168
"Prdx5",682.3693,622.7845,618.8381,644.5989,595.8423,669.7144
"Ctsc",193.1523,202.8137,296.2141,159.1725,129.7864,194.5572
"Pcx",155.8593,155.5029,168.9548,130.3871,120.8297,142.1582
"Cope",565.3588,532.7776,554.8695,535.454,528.6469,525.812
"M6pr",615.6293,598.026,630.3297,560.3975,529.6633,574.2145
"Pip4k2c",260.6791,239.8444,259.6112,261.4023,211.343,256.7392
"Rcbtb2",444.6664,451.3227,424.0768,503.9711,523.388,535.2448
"Ptcd1",819.2121,811.838,877.5977,826.2678,909.382,839.864
"Atp6v0c",821.6901,834.1842,819.4636,834.6106,830.6747,830.1169
"Emg1",742.9287,653.9564,680.4335,649.3791,648.2045,622.7908
"Bag1",1214.031,1031.339,1083.523,1119.282,1074.181,1109.958
"Guk1",345.6318,286.0161,347.0764,340.9214,300.6889,358.2417
"Tlnrd1",36.7651,47.74113,53.69269,44.59252,40.44735,47.15115
"Hmox2",649.1815,596.4969,662.7986,664.3456,666.2178,674.8129
"Pycrl",54.75154,56.50876,70.57486,50.25242,38.81948,56.5063
"Cd82",146.2637,167.2458,184.0661,164.0057,151.1332,166.8214
"Abcb10",345.3274,314.7118,331.4076,333.6131,290.4428,316.0337
"Pea15a",298.061,291.3487,414.4274,262.2506,235.882,283.5055
"Acox1",453.1291,421.1189,450.9557,395.7745,378.1797,435.8216
"Pafah1b3",251.7554,223.4524,238.5617,249.1629,217.6903,223.0817
"Gstm2",1728.726,1671.656,1846.958,1559.94,1657.625,1640.282
"Nsmaf",369.1116,359.0641,365.253,340.424,355.167,353.5126
"Ctsj",2.872552,1.121985,0.2766147,0.9179084,1.622503,0.8170496
"Emilin1",31.36559,32.10219,46.82572,30.58538,17.09609,41.66981
"Gstm1",1621.294,1598.673,1742.715,1448.127,1558.692,1499.952
"Ndufb7",1059.097,1001.527,994.9253,996.1031,1038.792,993.1451
"Gabarapl1",493.9419,451.8278,509.2287,423.4081,416.2634,405.0088
"Plin3",53.59059,61.54137,63.05714,49.64674,40.09735,31.7992
"Pex19",196.4022,223.1618,219.3668,208.7866,207.6132,177.3655
"Rab5a",431.8393,422.8665,421.7126,394.7028,396.3786,406.3258
"Thap11",344.8598,285.4112,328.9422,288.2217,236.7061,308.9222
"Cat",487.0243,533.7594,522.0715,407.2354,392.7679,452.4917
"Tubb6",149.4196,154.8113,213.0174,124.6305,106.3412,187.3473
"Pfkfb3",219.6874,245.448,290.5344,187.6893,183.094,232.0335
"Rpa2",516.3766,488.2619,520.1583,529.4263,476.0482,536.8241
"Bcl2l10",4.021963,2.53863,4.702515,2.925874,3.998929,2.613126
"Ltbr",97.46013,85.02596,98.88891,85.75814,66.18424,93.31059
"Puf60",805.5417,726.1411,762.7065,756.4453,732.9767,802.9688
"Dctpp1",473.1602,465.2824,527.6162,432.8978,406.0946,402.943
"Cd164",1175.355,1099.18,1111.792,1151.078,1155.095,1203.493
"Cpq",250.2098,249.778,312.4327,243.003,216.8228,277.3418
"Ier2",33.53776,30.44744,40.85298,28.51856,25.08407,26.32449
"Sae1",1045.359,1019.514,940.2157,963.1266,1031.326,1038.598
"Elovl2",959.7707,998.6235,904.2245,941.0756,1009.495,966.1299
"Fam98a",1003.386,917.869,901.1426,977.6956,1037.51,1023.781
"Tmem30a",810.1685,787.2804,756.1544,803.5088,814.2045,808.9753
"Itpa",224.3566,245.5109,269.6049,201.0337,216.525,219.0723
"Taf8",69.81442,62.86222,71.8032,49.95875,54.37551,61.57998
"Oat",551.7892,574.8589,630.5243,486.3932,488.5551,499.0383
"Acta2",1342.23,1240.43,1363.872,1264.405,1224.337,1270.862
"Chia1",11.5325,13.189,15.62603,14.05579,14.35289,13.40057
"Ddah2",83.49223,105.1995,120.9278,93.31836,68.75773,73.09011
"Arf2",305.3967,285.5623,324.9444,298.5135,265.2141,294.2629
"Miox",11.58703,10.92296,16.78871,5.684036,10.49613,11.32371
"Vapa",1571.9,1503.025,1443,1496.608,1515.573,1494.923
"Aldh1a1",1286.238,1306.669,1294.225,1135.973,1164.228,1200.381
"Cept1",462.4371,465.1102,485.3937,447.975,439.4947,408.6461
"Syap1",869.5982,920.166,902.3729,832.8272,825.7125,848.5488
"Igdcc4",437.467,413.0394,451.5851,391.1824,377.1132,407.6066
"Ube2d2a",1085.534,997.8442,1006.069,1005.336,980.0089,1071.69
"Tmem14c",441.3567,420.6546,499.4425,378.3072,366.1518,361.8323
"Higd1a",719.5185,688.5371,714.1551,712.8128,705.6809,742.0332
"Timm23",1021.517,990.4078,1043.274,1004.047,1032.234,1064.238
"Aimp1",799.8029,786.9037,781.6588,789.821,836.2874,790.2927
"Ccng2",229.8665,230.9403,213.5615,225.7325,212.5752,212.92
"Pi4k2b",644.5992,658.0382,674.7625,710.4161,724.9095,688.209
"Tmed6",61.80423,54.14827,71.11961,190.8225,160.8333,172.7874
"Numbl",46.3332,47.55387,59.29243,43.9455,38.13367,38.7929
"Ccne1",96.13384,113.3105,114.3634,106.6614,101.9366,130.9992
"Ddost",1050.972,1005.473,1055.295,1027.283,1047.374,1011.852
"Ndufs5",683.459,682.8278,706.9518,706.5248,686.611,686.8533
"Mrfap1",1905.705,1860.277,1800.98,1766.613,1894.752,1796.292
"Pdia4",179.4652,191.648,182.0406,242.3201,238.6562,161.2691
"Ppic",185.4922,201.1917,237.3802,165.9236,136.9184,200.3987
"Sacm1l",587.4008,558.039,588.7982,506.8148,466.2841,544.5149
"Lxn",149.6671,145.249,167.7888,168.0538,167.0903,178.9836
"Nr4a1",49.88142,30.18611,158.1788,35.84033,20.86764,30.632
"Psma6",1371.596,1323.563,1358.762,1331.352,1327.419,1349.215
"Med28",662.8724,603.1629,649.1714,711.252,716.0881,723.1306
"Tm9sf3",901.8216,899.545,859.0697,871.8052,895.0136,840.7632
"Mrpl4",235.8077,244.6186,252.9094,243.9045,244.8261,245.4267
"Nubp2",590.3495,567.2845,526.0484,649.4014,695.2849,652.6005
"Lamb2",348.4073,352.2508,442.9108,276.2907,246.7287,307.0533
"Fscn1",741.4211,759.8008,743.4434,715.4086,755.9604,740.4172
"Pnpla6",149.2503,158.0143,186.0579,149.6912,120.8459,166.0679
"H1f8",0.2766069,0.3977395,0.3944418,0.3032036,0.451534,0.4128238
"Grcc10",362.4305,312.8555,437.7825,366.7283,355.7114,352.5509
"Rnase1",0.4651339,0.7586674,0.5542377,0.5629675,0.5291641,0.6336973
"Spop",419.1658,451.3111,445.7876,393.8235,437.0625,377.7666
"Rab32",30.63703,45.05627,62.5201,36.22802,32.52605,39.14037
"Sh3bgrl3",708.7929,637.4103,751.92,643.17,542.8882,636.3945
"Emp1",184.5663,142.8947,160.1081,146.0852,131.2667,164.7539
"Pnp",251.4143,238.0902,239.9859,233.9103,180.9911,257.4397
"Trrap",683.3718,655.2416,688.2141,564.871,622.9452,634.8873
"Egln2",793.7164,757.1741,768.2463,916.1415,865.9576,879.2979
"Dpf2",505.4597,492.5423,513.4135,526.7335,501.7304,558.1768
"Mcrs1",243.5968,267.8888,261.0471,279.8859,289.759,278.3411
"Pwwp3a",753.9261,698.3912,649.5126,656.6244,799.7713,740.4643
"Creld1",53.03709,60.07325,64.00658,47.2602,58.48371,43.18164
"Siae",154.2123,147.5774,165.6478,157.6005,136.2763,131.3324
"Hgs",218.9313,225.4935,200.364,256.9283,219.5531,274.3894
"Clpb",158.8289,151.3432,184.4557,177.306,169.4207,184.765
"Phf1",156.8779,173.1875,126.4684,190.4412,199.3763,192.7587
"Nfe2l2",464.9899,425.1374,510.1223,393.7289,354.9107,398.0685
"Ezh2",703.0788,710.4916,637.4214,733.2481,752.4252,786.768
"Zdhhc7",97.11054,89.46917,79.13017,83.01247,82.99437,88.4608
"Rpl6",1697.644,1666.572,1655.04,1604.146,1666.463,1611.388
"Ndufb3",770.769,783.4563,774.8561,782.4823,791.4167,777.351
"Slc35b4",149.0207,134.0942,150.8464,145.9382,140.2725,153.3682
"Dppa5a",211.2374,181.0147,208.8956,170.2068,144.5042,152.2711
"Cenpx",437.7216,424.4272,419.2868,468.4321,415.4461,450.7232
"Pdlim1",136.638,158.1723,244.4152,108.9876,104.9742,138.0931
"Ei24",704.183,721.3077,778.0178,660.9531,704.2219,650.2712
"Tspan31",678.5944,710.9591,799.4531,598.5516,605.1227,599.5353
"Melk",198.1362,178.5473,208.4517,166.0451,167.0574,142.5608
"Rrp8",246.8244,258.2484,250.5031,226.3033,204.4402,217.5334
"Gad1",4.98582,3.089759,2.675446,4.62495,0.4381379,3.68073
"Ctps",920.5413,901.2586,967.272,765.0707,752.3973,776.9652
"Sox7",59.0451,63.00751,47.49648,75.8941,70.48644,60.45993
"Strap",766.1956,750.272,740.0259,800.0764,869.3088,805.8497
"Atp5e",1222.943,1094.662,1118.597,1173.679,1151.372,1158.053
"Actl6a",492.7272,508.692,451.2375,508.8612,515.7453,497.4031
"Gfm1",366.4885,344.7345,368.3732,363.0345,334.2108,378.5228
"Tox4",668.8011,667.092,670.8571,678.2125,683.3405,691.5966
"Cdc45",226.0973,246.5032,254.7379,255.7729,272.5517,262.3542
"Epcam",324.0477,277.6697,330.9236,338.5537,305.3964,311.0619
"Stub1",592.3105,589.4243,621.4941,581.8172,541.0611,589.9186
"Wdr5",646.3028,671.5438,659.2003,658.1619,680.0814,639.6192
"Bad",501.5078,461.7447,478.943,548.6958,517.3727,564.9927
"Man2b2",123.7745,136.439,130.4717,196.9719,174.1331,187.0895
"Ruvbl1",508.4546,473.9851,471.4965,451.4725,458.8081,455.5866
"Zfp239",85.70309,103.3005,122.5514,74.94889,83.21021,93.40297
"Xrcc1",201.0829,211.08,196.2154,252.5793,217.5908,286.3398
"Ptprn",3.752043,1.359526,7.830826,5.084025,6.223699,3.912193
"Rab34",244.2885,215.9227,260.5563,202.8642,171.5105,229.655
"Glrx",107.1954,138.9098,182.7916,98.07139,81.89422,101.3751
"Mrps22",511.8387,491.623,489.3693,520.7335,530.7007,547.4777
"Slc44a4",9.444776,6.695989,6.326588,7.991652,5.26818,7.943319
"Hdgfl2",308.7263,320.8836,311.6427,332.2675,356.9346,319.0486
"Glis2",112.9139,101.3531,117.2709,92.58643,67.71743,87.67633
"Rcan1",328.7664,353.6837,392.3789,332.4696,302.3624,351.4823
"Rad52",363.2335,335.1127,356.0292,367.3477,370.9482,328.7172
"Rpl22",1307.912,1207.07,1327.76,1238.266,1282.964,1212.016
"Cyc1",594.0885,540.4609,582.5865,572.1,487.4612,604.2113
"Nhp2",469.6505,459.4812,509.5365,408.6571,384.8251,420.3013
"4931406C07Rik",299.0778,341.6311,294.5357,294.9293,305.7499,308.0386
"BC004004",985.5097,875.3906,989.857,930.7482,849.2435,977.8364
"Cyp1b1",201.891,281.6824,386.7101,190.5112,152.4779,211.2399
"Clpp",460.0747,443.0431,474.511,435.5552,397.2644,413.7083
"Acss1",631.7482,597.7797,666.7936,534.4938,536.5378,558.7662
"Ppox",301.6993,262.5289,276.0592,222.1016,198.5227,249.3854
"Vsir",22.30005,22.98468,35.11283,16.86886,13.7597,23.28909
"Smarcal1",179.1734,172.4176,210.1807,172.6907,163.4181,194.4103
"Llgl1",238.201,234.7534,281.0861,202.5644,172.8541,225.056
"Rcc1l",127.4653,121.2625,115.933,105.8402,121.657,129.4856
"Thbs3",159.6043,119.4669,106.316,133.8463,119.3384,154.0033
"Serping1",456.7825,514.8419,635.7991,473.8076,395.0259,481.3679
"Spint1",129.4172,127.6642,125.1192,134.5223,97.27486,136.1305
"Tmem223",280.085,271.8411,329.8744,237.8772,216.8691,243.4453
"Slc1a5",94.43945,94.07627,129.9334,82.71082,85.67429,84.37018
"Id3",113.544,132.8906,202.5782,139.6832,102.6934,98.81252
"Ap4b1",300.7191,315.6888,263.5017,313.263,323.8482,337.0522
"Me1",1162.286,1141.671,1130.4,1046.519,1078.53,1155.128
"Ciao2a",1136.203,1116.12,1020.926,1088.807,1093.307,1107.42
"Smpdl3a",245.8742,237.2424,207.3762,308.9322,303.0249,281.1974
"Rheb",813.9276,772.8784,770.1999,722.0859,759.1945,744.0677
"Slc4a2",393.2971,451.1014,505.7907,411.4221,377.4062,412.4607
"Sall2",66.30563,59.95998,68.74934,60.03172,42.24658,47.92912
"Slc2a5",695.2042,680.8149,632.1686,973.5558,988.1689,923.5334
"Kcne1l",2.853341,0.8881349,1.472362,4.683261,0.9056468,1.264516
"Lig1",389.3231,348.1573,363.6586,309.317,317.6057,354.1296
"Tpt1",1635.453,1580.888,1559.033,1524.567,1654.05,1550.602
"Afp",124.9832,95.21234,105.5747,75.60633,61.18894,75.00475
"Bckdha",95.71394,109.663,100.8617,117.6801,92.34634,109.2352
"Dync1h1",1112.773,1051.733,989.8204,1056.655,1066.204,1174.728
"Ambp",1.762096,3.522003,4.68999,4.641833,3.014719,1.229432
"Rfpl4",0.1654731,1.346591,0.6480217,0.220522,1.325574,0.1480394
"Znhit2",560.5189,508.6376,534.2208,786.0594,729.3639,773.0016
"Stxbp3",275.1242,276.6467,345.5394,223.8926,256.5963,241.8312
"Slc31a2",185.0606,206.6924,236.4704,171.2572,166.9332,160.582
"C1galt1c1",107.0587,93.74992,108.2059,101.9698,79.36868,102.48
"Clic1",683.7641,693.9633,840.7839,640.6118,627.8574,655.6467
"Akt1",232.9642,202.9218,263.007,207.1629,146.7151,195.3121
"Frzb",210.1667,241.8104,285.3054,177.367,168.6829,208.2931
"Eif3a",1093.331,1089.597,1039.757,1032.732,1083.577,1028.383
"Sardh",18.79162,22.62715,30.92769,19.07797,17.24854,23.03148
"Ndufa9",885.7463,873.2256,842.7269,894.7888,949.7198,862.9879
"Coq7",553.1199,505.1735,594.8345,510.7167,486.2306,468.0554
"Serpine2",94.66908,111.3329,121.2481,112.9983,104.2096,91.5564
"Ebp",295.1683,297.0871,372.3429,279.6594,254.6804,278.6419
"Emc2",745.5726,702.001,694.1037,768.1975,698.7664,771.021
"Mcoln1",173.3633,175.6304,212.826,175.7957,165.7798,189.0553
"Bace2",33.10796,35.40084,49.45596,33.43548,32.04252,32.2031
"Ptpru",26.0331,30.14547,34.13562,28.61473,30.54383,27.07524
"Plcd1",148.3394,147.6439,187.0825,128.3067,95.84522,152.0454
"Kng1",0.6142474,3.752186,1.405413,6.041137,3.258048,8.036905
"Apoh",9.722613,13.79363,16.20847,31.11775,20.6361,49.10888
"Cops3",883.0483,907.4874,804.7106,932.4072,974.0663,896.3452
"Abcd3",835.3462,813.2194,908.7132,708.1641,710.8826,774.2699
"Ube3a",641.7446,678.7057,632.5034,680.4119,756.0814,679.3199
"Plxnb2",317.2556,315.8219,392.3823,319.9314,264.4744,385.2193
"Fbl",716.7186,745.0224,762.8967,680.9213,652.3728,638.5744
"Plod2",271.8033,265.6053,293.0607,236.8266,230.412,235.8397
"Snap91",45.48606,35.67963,28.29443,42.4189,42.02684,42.87207
"Tuft1",235.883,233.0469,223.2239,285.2275,290.4348,282.1567
"Gtpbp2",197.7834,213.7961,181.8192,202.4205,211.182,222.7125
"Coil",656.7354,607.4274,545.6712,675.0372,716.0758,626.3828
"Foxc2",59.90455,60.05935,67.92351,45.38769,35.85874,36.21333
"Gk2",1147.38,1112.351,1010.92,1305.929,1446.549,1287.701
"Mydgf",280.4177,300.3921,311.4854,367.3875,337.1396,323.6057
"Dpp4",97.82966,70.8765,103.2978,108.6307,65.68287,72.93556
"Cks1b",1080.366,991.3013,1047.621,927.3159,958.8394,893.296
"Rab5if",441.5043,398.1329,415.8426,368.2259,344.06,378.8442
"Rnd3",140.9619,162.4788,194.3751,141.5109,129.6021,98.52683
"Mapk14",443.774,422.2183,466.8074,380.5411,362.2505,403.2358
"Gramd1a",188.8804,184.9607,207.8553,133.6183,141.6851,185.936
"Ngrn",232.3691,226.2999,242.3679,235.9481,213.4421,221.4606
"Tmem35a",383.8938,407.4182,450.2247,309.974,306.5112,315.2056
"Tbr1",55.1288,57.72885,48.68098,58.83694,59.7051,49.54157
"Pepd",116.7243,140.5214,165.7171,110.1417,94.61388,113.6502
"Tppp3",72.91311,85.43884,74.27188,74.59278,76.60748,71.24265
"Irf8",26.027,38.68612,112.287,44.93848,28.54759,35.58707
"Gjb3",7.460386,8.562349,11.03597,13.58825,9.820958,10.48914
"Crisp2",1429.996,1362.173,1288.843,1523.215,1641.339,1546.495
"Bcan",28.9567,18.89996,15.67744,14.25563,18.28049,17.2797
"Hmg20a",419.9008,421.2782,451.6003,378.6296,360.2227,385.4766
"Tcf4",729.1024,695.3013,766.5763,661.6389,696.5117,638.582
"Ube2s",1049.978,998.8506,1011.267,1094.169,1131.095,1091.934
"Cyb5a",894.7566,841.4153,884.6483,853.3746,793.3831,834.663
"Csnk2b",1524.195,1518.904,1627.423,1654.289,1658.572,1613.736
"Plg",2.476053,1.265513,0.5888399,0.9071498,1.016573,0.3175343
"Rcl1",153.9498,156.9087,159.2476,122.7592,130.5867,124.8308
"Top2b",525.4258,521.0984,502.6849,498.2435,481.1042,478.4088
"Mkln1",691.681,628.5471,652.478,641.9871,683.1237,666.0086
"Asah1",691.6618,722.7854,799.7692,620.7776,635.2509,629.5389
"Casc3",797.5416,796.8061,725.3098,752.1849,795.3559,720.1001
"Gys1",21.81875,18.75681,17.35947,18.72993,11.56521,16.80207
"Brap",681.4731,640.4979,641.1274,777.442,742.0342,762.274
"Cfdp1",709.5374,672.6101,662.4442,654.8593,650.4614,671.3322
"H2afx",340.7264,367.1945,330.7314,377.8937,380.7364,383.5674
"Mfsd5",99.33156,108.3947,113.6837,100.4523,87.71535,96.58273
"Mre11a",354.5668,315.3567,310.5606,340.5991,343.301,377.3952
"Sigmar1",81.49715,76.43211,78.8565,74.03713,77.54639,76.80035
"Ddx20",591.0496,584.9764,528.5032,645.6774,640.0768,737.5449
"Prkar1b",24.65505,29.62023,31.97254,29.29649,24.19082,22.95292
"Dnajb1",863.2158,851.6585,725.0979,941.3966,993.0001,970.2612
"Zwilch",772.2643,842.4633,764.5081,818.9415,890.1483,856.355
"Arhgap27",26.46217,24.64828,21.23869,15.6462,15.181,24.38165
"Galnt16",10.3886,9.26054,6.143674,10.37523,7.872381,8.359557
"Hsd11b2",21.41189,24.30848,29.74781,20.78491,17.67772,23.63038
"Cdc123",588.9883,593.0033,589.6344,594.8899,623.8287,628.0159
"Fis1",734.0855,761.1642,778.2014,711.0809,745.9283,710.9113
"Pam16",1347.814,1254.38,1224.892,1400.819,1446.799,1402.97
"Marc2",340.0757,300.7821,419.715,281.5192,258.1955,303.3544
"Smim14",1173.803,1110.641,1057.34,1205.797,1239.936,1220.051
"Atp6v0b",477.3492,467.1716,509.3977,517.9055,473.7086,472.6895
"Stk25",889.0013,915.0229,800.1584,921.4309,974.8161,954.9675
"Trappc3",548.0128,481.5046,511.1518,457.2255,452.1087,448.7169
"Cpt2",539.6583,520.5152,525.8676,512.7524,511.5686,551.448
"Wee1",538.2887,545.3134,527.5078,495.8571,505.6704,508.6945
"Dmac2",239.8412,236.5448,284.8375,247.0788,281.7227,289.4996
"Crym",17.72776,13.17988,12.5882,16.37679,15.03601,15.72888
"Ceacam12",1.93052,3.221305,3.768096,0.3763107,2.345697,2.536984
"Cavin2",175.6966,215.7394,226.9778,180.9531,164.9237,186.015
"Pfkm",379.4341,331.7868,353.1286,440.0475,414.6288,441.5523
"Praf2",91.409,103.4347,123.6591,78.61042,74.94102,83.96918
"Tac1",3.049143,2.250919,4.076511,1.900435,2.943072,3.603016
"Pgk2",620.1327,554.9644,568.2864,847.719,853.637,868.4518
"Kcnip1",23.04174,21.23726,19.14675,28.19872,17.67856,10.71324
"Idh3g",790.7831,698.9783,837.5016,677.9274,594.1346,758.8859
"Nxf1",1221.175,1154.468,1151.274,1136.523,1204.34,1173.246
"Ppm1g",822.3785,789.4395,752.2711,915.0878,965.1036,894.6001
"Atl2",813.6237,829.8311,795.754,788.4017,817.1566,808.204
"Cryl1",98.67893,108.9295,122.747,99.36771,115.2594,86.07733
"Nck2",759.275,815.0616,904.2808,699.5913,651.6475,712.998
"Nme4",41.62062,41.28157,59.67813,40.05933,26.54319,30.2414
"Trpm7",349.8723,354.3661,333.2142,284.7522,297.396,317.3281
"Cdca5",287.8076,269.83,284.2454,272.9877,255.8425,310.6891
"Fkbp7",261.6761,292.8281,434.1115,303.4236,224.2739,281.1669
"Gask1b",585.8969,539.6797,655.3634,472.0157,425.965,459.4069
"Fdxr",312.8172,300.234,379.4043,256.0912,229.7109,312.0573
"Nid1",721.7679,827.7394,847.5398,704.8291,751.2603,737.1788
"Cyp3a11",1.659302,1.495095,2.692888,0.344496,0.688634,1.292382
"Mea1",1102.557,1006.722,1004.734,1155.239,1199.567,1127.84
"Tia1",253.8664,275.9193,279.9836,296.6327,299.8293,295.9765
"Bub3",994.6395,927.157,871.7718,981.1087,1002.736,985.9673
"Cdc37",215.066,225.4298,228.2805,213.2255,228.6883,204.3059
"Ess2",118.1288,118.8923,122.3931,126.7623,127.3599,123.9721
"B230118H07Rik",788.939,782.4165,748.3162,931.8372,983.0551,923.4902
"Snta1",10.83472,12.12335,21.18499,13.54233,11.51587,14.33262
"Med20",525.6718,461.9007,460.1281,473.7453,435.0914,504.1034
"Tbxas1",10.86227,15.67289,18.82988,12.72928,14.10911,19.36224
"Snap25",3.501381,4.353372,4.072962,1.578968,4.338509,0.7007489
"Atp5b",1270.69,1233.001,1246.672,1192.801,1386.32,1217.753
"Glmp",85.55672,63.87487,116.4118,73.46526,60.3366,74.36911
"Neu1",48.97866,46.94476,69.94036,39.85357,38.75666,43.5094
"Slc39a8",374.3734,383.8033,313.465,453.8094,466.028,437.4007
"Keg1",2.351402,1.63739,0.1073203,0.05315524,1.028462,0.1252535
"Lrp10",264.3969,247.2387,293.716,202.603,165.5269,231.4674
"Bax",226.2983,224.7314,302.7954,208.6077,185.2675,223.9388
"Mid1ip1",508.3884,494.9601,574.3129,487.8903,457.1926,483.0037
"1110059E24Rik",234.012,243.3497,231.6836,229.7924,213.109,234.1654
"Gstm5",1564.985,1514.26,1444.253,1571.645,1648.037,1539.796
"Pde6d",436.4379,407.0656,408.348,485.3863,486.9205,493.4395
"Tmem132a",52.53357,45.92424,67.40644,30.14855,27.52928,44.31162
"Pdzrn3",138.4995,153.7083,160.5545,106.4891,115.6274,104.3737
"Ubl5",301.8419,312.0574,353.618,349.6526,333.4184,306.0769
"Cisd1",1091.474,1028.855,1024.64,1069.979,1125.214,1066.12
"Ncdn",270.9727,259.3445,312.8306,222.8332,233.3513,257.6319
"Slc34a2",355.8423,359.4916,278.9294,476.3261,485.0258,438.2576
"Gas1",216.4224,266.8827,328.5673,281.764,200.3764,210.075
"Oser1",833.0396,807.2161,764.1382,865.7487,882.6581,869.7227
"Sdf2",561.3273,554.0308,589.4517,489.5673,511.0663,485.0158
